F_MASV,F_MAMH,F_NHHK,F_DIEM4
67158.0,2405.0,20201,4.0
70631.0,2035.0,20201,3.5
68629.0,1949.0,20201,4.0
73803.0,1949.0,20201,4.0
69284.0,1916.0,20201,3.5
69280.0,1826.0,20201,4.0
69232.0,1985.0,20201,3.5
68245.0,2225.0,20201,3.5
74285.0,4480.0,20201,3.5
73119.0,585.0,20201,4.0
69402.0,315.0,20201,3.5
69380.0,1123.0,20201,3.0
68685.0,376.0,20201,3.5
69056.0,581.0,20201,3.5
68975.0,422.0,20201,3.0
73953.0,352.0,20201,2.5
69006.0,416.0,20201,3.0
73423.0,1140.0,20201,3.5
68716.0,531.0,20201,4.0
68722.0,367.0,20201,3.5
75352.0,1472.0,20201,3.0
75387.0,1653.0,20201,3.0
93583.0,3025.0,20201,3.5
69952.0,4133.0,20201,3.0
68243.0,52.0,20201,4.0
70528.0,396.0,20201,4.0
70489.0,847.0,20201,3.5
70514.0,847.0,20201,3.5
67352.0,42.0,20201,3.5
75287.0,1534.0,20201,4.0
75701.0,1414.0,20201,3.5
75436.0,1439.0,20201,3.5
60520.0,203.0,20201,1.0
60545.0,184.0,20201,1.0
60718.0,418.0,20201,3.5
65636.0,780.0,20201,1.0
71112.0,4889.0,20201,4.0
72520.0,3137.0,20201,4.0
72237.0,4404.0,20201,1.0
71052.0,4878.0,20201,3.5
74304.0,2773.0,20201,3.5
70760.0,4856.0,20201,2.0
72500.0,2846.0,20201,3.5
72193.0,4404.0,20201,1.5
71109.0,4888.0,20201,3.5
74303.0,2769.0,20201,3.0
72521.0,2837.0,20201,3.0
73610.0,4294.0,20201,3.5
72261.0,4405.0,20201,2.0
74374.0,4271.0,20201,3.0
72519.0,2851.0,20201,4.0
73890.0,3925.0,20201,3.5
70191.0,3961.0,20201,4.0
69648.0,3928.0,20201,2.0
71452.0,846.0,20201,3.0
71490.0,817.0,20201,3.5
71520.0,883.0,20201,4.0
68281.0,1297.0,20201,2.5
68337.0,1297.0,20201,2.5
71690.0,883.0,20201,4.0
70897.0,1066.0,20201,4.0
73721.0,1371.0,20201,3.0
73706.0,1229.0,20201,4.0
68281.0,1258.0,20201,3.0
60284.0,1173.0,20201,1.5
72327.0,3494.0,20201,2.0
62285.0,879.0,20201,1.5
71878.0,4694.0,20201,4.0
73716.0,1192.0,20201,3.0
72506.0,2851.0,20201,4.0
74292.0,4718.0,20201,4.0
70657.0,1769.0,20201,3.0
72623.0,1710.0,20201,0.0
70252.0,682.0,20201,3.0
74102.0,1777.0,20201,3.5
70653.0,1770.0,20201,2.5
82132.0,4628.0,20201,3.5
70652.0,1771.0,20201,3.0
74114.0,1687.0,20201,2.0
71333.0,240.0,20201,4.0
70137.0,556.0,20201,2.5
70048.0,537.0,20201,2.5
69434.0,654.0,20201,4.0
69413.0,654.0,20201,3.5
72676.0,2624.0,20201,4.0
72626.0,3494.0,20201,2.0
71595.0,871.0,20201,2.0
71629.0,820.0,20201,4.0
70388.0,885.0,20201,4.0
65607.0,814.0,20201,1.0
71529.0,900.0,20201,3.0
73108.0,971.0,20201,3.5
70156.0,537.0,20201,2.5
69325.0,527.0,20201,4.0
71347.0,505.0,20201,3.5
73064.0,948.0,20201,2.0
56643.0,1297.0,20201,2.5
62011.0,1582.0,20201,2.5
50485.0,1251.0,20201,3.0
66261.0,388.0,20201,3.5
57928.0,322.0,20201,3.0
65124.0,992.0,20201,3.0
65172.0,973.0,20201,1.0
87068.0,1375.0,20201,3.0
65415.0,419.0,20201,3.5
71904.0,1625.0,20201,3.0
71305.0,3490.0,20201,3.0
71971.0,1625.0,20201,3.0
71293.0,1474.0,20201,3.0
83800.0,1547.0,20201,2.5
67726.0,1482.0,20201,3.0
67836.0,1577.0,20201,1.0
67738.0,1487.0,20201,3.5
67890.0,1542.0,20201,0.0
67626.0,1598.0,20201,4.0
67639.0,1492.0,20201,3.5
67867.0,1584.0,20201,2.0
67854.0,1653.0,20201,3.0
67955.0,1522.0,20201,3.5
67925.0,1476.0,20201,3.5
67839.0,1567.0,20201,1.5
67667.0,1431.0,20201,3.5
67712.0,1487.0,20201,3.5
67750.0,1651.0,20201,0.0
68076.0,1560.0,20201,3.0
67619.0,1670.0,20201,3.0
67801.0,1582.0,20201,3.0
68448.0,1336.0,20201,1.5
69071.0,182.0,20201,3.0
69071.0,582.0,20201,3.0
74038.0,4797.0,20201,3.0
67501.0,2109.0,20201,1.0
73044.0,788.0,20201,1.5
71797.0,1780.0,20201,3.0
71797.0,1786.0,20201,4.0
69441.0,650.0,20201,4.0
72688.0,2646.0,20201,4.0
70714.0,1770.0,20201,2.0
70328.0,688.0,20201,4.0
70789.0,2152.0,20201,2.0
69832.0,2341.0,20201,3.5
72959.0,2368.0,20201,4.0
69873.0,2425.0,20201,4.0
69854.0,2313.0,20201,4.0
70380.0,753.0,20201,1.5
73268.0,965.0,20201,2.0
71335.0,272.0,20201,2.0
69310.0,1123.0,20201,3.0
73165.0,571.0,20201,2.0
69021.0,419.0,20201,2.0
68483.0,1255.0,20201,3.0
68745.0,1150.0,20201,3.0
70314.0,95.0,20201,3.5
70314.0,3501.0,20201,3.0
69165.0,209.0,20201,3.0
70302.0,701.0,20201,3.0
73400.0,973.0,20201,1.5
69122.0,251.0,20201,3.5
69429.0,95.0,20201,3.5
69429.0,125.0,20201,4.0
68470.0,1347.0,20201,3.5
61149.0,2554.0,20201,3.0
61192.0,2275.0,20201,4.0
56496.0,1322.0,20201,2.5
57483.0,1403.0,20201,2.0
61993.0,3745.0,20201,1.5
66565.0,824.0,20201,1.0
62511.0,3829.0,20201,4.0
66241.0,3616.0,20201,2.0
58979.0,2236.0,20201,3.5
66233.0,164.0,20201,3.5
59815.0,1287.0,20201,1.0
60330.0,388.0,20201,3.0
54608.0,4723.0,20201,3.5
48827.0,1004.0,20201,2.5
71925.0,4694.0,20201,3.0
71296.0,1607.0,20201,3.5
68950.0,1439.0,20201,3.0
70206.0,1466.0,20201,2.5
72113.0,1590.0,20201,3.5
71994.0,1568.0,20201,3.0
74212.0,1462.0,20201,3.0
72058.0,1476.0,20201,4.0
74172.0,1568.0,20201,3.0
71879.0,1584.0,20201,2.0
